start_station_id,month,average_per_month,start_lng,start_lat,heat
TA1307000126,5,2721.0,-87.65416533333334,41.9491555,0.18
TA1307000127,5,1779.0,-87.65918216666667,41.950837166666666,0.12
TA1307000128,5,2265.0,-87.629912,41.898969,0.15
TA1307000129,5,442.0,-87.62679755687714,41.8310363140161,0.03
TA1307000130,5,1059.0,-87.65103,41.871737,0.07
TA1307000131,5,1452.0,-87.626283,41.8866835,0.1
TA1307000134,5,3256.0,-87.65304,41.94018,0.22
TA1307000136,5,1999.0,-87.6475386582,41.9364968219,0.13
TA1307000138,5,567.0,-87.67125114798546,41.943785164970734,0.04
TA1307000139,5,823.0,-87.61690016666667,41.842044,0.06
TA1307000140,5,814.0,-87.6886695,41.96651466666667,0.05
TA1307000142,5,2389.0,-87.64428666666667,41.931216,0.16
TA1307000143,5,635.0,-87.638566,41.907626,0.04
TA1307000144,5,601.0,-87.676169,41.961406,0.04
TA1307000149,5,618.0,-87.67393,41.95469,0.04
TA1307000150,5,2194.0,-87.64645278453827,41.94947274088333,0.15
TA1307000151,5,2670.0,-87.63427133333333,41.89007983333333,0.18
TA1307000153,5,298.0,-87.645368,41.84358,0.02
TA1307000156,5,631.0,-87.684781,41.963004,0.04
TA1307000158,5,639.0,-87.679028,41.967094,0.04
TA1307000159,5,589.0,-87.668745,41.857901,0.04
TA1307000160,5,239.0,-87.618691,41.794853,0.02
TA1307000161,5,77.0,-87.64572,41.827059,0.01
TA1307000163,5,1365.0,-87.656936,41.918216,0.09
TA1307000164,5,1091.0,-87.596471,41.795264,0.07
TA1307000166,5,1439.0,-87.64865,41.91382383333333,0.1
TA1308000001,5,4510.0,-87.630834,41.926277,0.3
TA1308000002,5,257.0,-87.59921183333333,41.80977033333333,0.02
TA1308000005,5,822.0,-87.6823890209198,41.91050936666395,0.06
TA1308000006,5,635.0,-87.67691866666667,41.892552,0.04
TA1308000007,5,65.0,-87.616279,41.809851,0.0
TA1308000009,5,1708.0,-87.580715,41.795212,0.12
TA1308000012,5,2583.0,-87.638181,41.963982,0.17
TA1308000013,5,250.0,-87.64686583333334,41.847146333333335,0.02
TA1308000014,5,144.0,-87.640591,41.849527,0.01
TA1308000019,5,1789.0,-87.658865,41.939743,0.12
TA1308000021,5,760.0,-87.657659,41.968812,0.05
TA1308000022,5,1800.0,-87.648101,41.9543595,0.12
TA1308000023,5,162.0,-87.606582,41.816499,0.01
TA1308000026,5,194.0,-87.6321405172348,41.85008369347577,0.01
TA1308000029,5,1438.0,-87.62232,41.886835,0.1
TA1308000031,5,731.0,-87.684158,41.929465,0.05
TA1308000035,5,310.0,-87.591875,41.809443,0.02
TA1308000036,5,359.0,-87.6218925,41.8387795,0.02
TA1308000038,5,129.0,-87.6071,41.822985,0.01
TA1308000043,5,293.0,-87.647172,41.830661,0.02
TA1308000045,5,277.0,-87.64125533401966,41.83070705144085,0.02
TA1308000046,5,443.0,-87.65114,41.8378,0.03
TA1308000047,5,397.0,-87.6641935,41.9570935,0.03
TA1308000049,5,2538.0,-87.63483,41.906724,0.17
TA1308000050,5,4444.0,-87.634656,41.912133,0.3
TA1309000001,5,883.0,-87.647122,41.864917166666665,0.06
TA1309000002,5,1584.0,-87.62408,41.87785,0.11
TA1309000003,5,109.0,-87.68510383333333,41.84837366666667,0.01
TA1309000004,5,1321.0,-87.6313965,41.877871166666665,0.09
TA1309000006,5,1113.0,-87.643749,41.918084,0.08
TA1309000007,5,1180.0,-87.6347655,41.87982866666667,0.08
TA1309000008,5,1040.0,-87.635504,41.879434,0.07
TA1309000010,5,1726.0,-87.625734,41.870769,0.12
TA1309000011,5,1221.0,-87.601334,41.788746,0.08
TA1309000012,5,414.0,-87.679258,41.96325,0.03
TA1309000014,5,1175.0,-87.667429,41.967096,0.08
TA1309000015,5,308.0,-87.684001,41.968885,0.02
TA1309000018,5,492.0,-87.673567,41.957921,0.03
TA1309000019,5,2623.0,-87.638973,41.925858,0.18
TA1309000021,5,508.0,-87.67142,41.96151016666666,0.03
TA1309000023,5,2216.0,-87.653833,41.928712,0.15
TA1309000024,5,2272.0,-87.63153133333333,41.90808883333333,0.15
TA1309000025,5,2640.0,-87.64895,41.94367,0.18
TA1309000026,5,660.0,-87.68016144633293,41.95600355078549,0.04
TA1309000027,5,1093.0,-87.6550065,41.958519333333335,0.07
TA1309000029,5,595.0,-87.682437,41.917805,0.04
TA1309000030,5,1181.0,-87.66367933333333,41.92076266666667,0.08
TA1309000032,5,400.0,-87.664169,41.912919,0.03
TA1309000033,5,2028.0,-87.653818,41.92154,0.14
TA1309000035,5,1542.0,-87.6678554713726,41.97334764047304,0.1
TA1309000036,5,1661.0,-87.64776,41.93314,0.11
TA1309000037,5,1705.0,-87.59477133333333,41.79959516666667,0.12
TA1309000039,5,2787.0,-87.636427,41.932588,0.19
TA1309000041,5,860.0,-87.654691,41.969517,0.06
TA1309000042,5,1296.0,-87.66820133333333,41.939328333333336,0.09
TA1309000043,5,918.0,-87.664358,41.954177,0.06
TA1309000049,5,2674.0,-87.639192,41.940775,0.18
TA1309000050,5,439.0,-87.673308,41.946176,0.03
TA1309000051,5,37.0,-87.55127216666666,41.74460483333333,0.0
TA1309000053,5,172.0,-87.60672216666667,41.80983666666667,0.01
TA1309000055,5,753.0,-87.64509683333333,41.838194666666666,0.05
TA1309000058,5,2139.0,-87.64638,41.924161,0.14
TA1309000059,5,976.0,-87.658969,41.92893433333333,0.07
TA1309000061,5,2394.0,-87.649077,41.929143,0.16
TA1309000063,5,941.0,-87.587782,41.793242,0.06
TA1309000064,5,999.0,-87.674091,41.8711525,0.07
TA1309000066,5,1533.0,-87.67423,41.96908083333334,0.1
TA1309000067,5,169.0,-87.606615,41.803038,0.01
WL-008,5,821.0,-87.6410879593,41.8671177825,0.06
WL-011,5,737.0,-87.64274597167967,41.880329633634624,0.05
WL-012,5,2507.0,-87.64134483333333,41.88353733333334,0.17
chargingstx1,5,1155.0,-87.65218332409859,41.9182955629354,0.08
chargingstx3,5,1450.0,-87.64862671494483,41.883601657275165,0.1
chargingstx4,5,1339.0,-87.65228927135468,41.88549170626906,0.09
chargingstx5,5,890.0,-87.67066776752472,41.9433502470174,0.06
021320,6,52.0,-87.68,41.89,0.0
